timestamp,base,shoulder,elbow,wrist_updown,claw
1785291524.4644842,90.0,90.0,90.0,90.0,120.0
1785291524.522403,90.0,90.0,90.0,90.0,120.0
1785291524.592656,90.0,90.0,90.0,90.0,120.0
1785291524.660015,90.0,90.0,90.0,90.0,120.0
1785291524.729097,90.0,90.0,90.0,90.0,120.0
1785291524.7930932,90.0,90.0,90.0,90.0,120.0
1785291524.8650398,90.0,90.0,90.0,90.0,120.0
1785291524.925715,90.0,90.0,90.0,90.0,120.0
1785291524.992717,90.0,90.0,90.0,90.0,120.0
1785291525.064307,90.0,90.0,90.0,90.0,120.0
1785291525.126303,90.0,90.0,90.0,90.0,120.0
1785291525.191971,90.0,90.0,90.0,90.0,120.0
1785291525.2656362,90.0,90.0,90.0,90.0,120.0
1785291525.325703,90.0,90.0,90.0,90.0,120.0
1785291525.3965828,90.0,90.0,90.0,90.0,120.0
1785291525.4618618,90.0,90.0,90.0,90.0,120.0
1785291525.526457,90.0,90.0,90.0,90.0,120.0
1785291525.596152,90.0,90.0,90.0,90.0,120.0
1785291525.664544,90.0,90.0,90.0,90.0,120.0
1785291525.726738,90.0,90.0,90.0,90.0,120.0
1785291525.796602,90.0,90.0,90.0,90.0,120.0
1785291525.8614469,90.0,90.0,90.0,90.0,120.0
1785291525.9268181,90.0,90.0,90.0,90.0,120.0
1785291525.993591,90.0,90.0,90.0,90.0,120.0
1785291526.061815,90.0,90.0,90.0,90.0,120.0
1785291526.1244202,90.0,90.0,90.0,90.0,120.0
1785291526.19684,90.0,90.0,90.0,90.0,120.0
1785291526.2642078,90.0,90.0,90.0,90.0,120.0
1785291526.330797,90.0,90.0,90.0,90.0,120.0
1785291526.398182,90.0,90.0,90.0,90.0,120.0
1785291526.465728,90.0,90.0,90.0,90.0,120.0
1785291526.527427,90.0,90.0,90.0,90.0,120.0
1785291526.59423,90.0,90.0,90.0,90.0,120.0
1785291526.6615522,90.0,90.0,90.0,90.0,120.0
1785291526.730081,90.0,90.0,90.0,90.0,120.0
1785291526.793747,90.0,90.0,90.0,90.0,120.0
1785291526.8625312,90.0,90.0,90.0,90.0,120.0
1785291526.924298,90.0,90.0,90.0,90.0,120.0
1785291526.99055,90.0,90.0,90.0,90.0,120.0
1785291527.062256,90.0,90.0,90.0,90.0,120.0
1785291527.125963,90.0,90.0,90.0,90.0,120.0
1785291527.198056,90.0,90.0,90.0,90.0,120.0
1785291527.260715,90.0,90.0,90.0,90.0,120.0
1785291527.33097,90.0,90.0,90.0,90.0,120.0
1785291527.3940322,90.0,90.0,90.0,90.0,120.0
1785291527.459185,90.0,90.0,90.0,90.0,120.0
1785291527.5277948,90.0,90.0,90.0,90.0,120.0
1785291527.5901198,90.0,90.0,90.0,90.0,120.0
1785291527.664379,90.0,90.0,90.0,90.0,120.0
1785291527.726847,90.0,90.0,90.0,90.0,120.0
1785291527.7978098,90.0,90.0,90.0,90.0,120.0
1785291527.862139,90.0,90.0,90.0,90.0,120.0
1785291527.9276428,90.0,90.0,90.0,90.0,120.0
1785291527.994394,90.0,90.0,90.0,90.0,120.0
1785291528.062111,90.0,90.0,90.0,90.0,120.0
1785291528.128038,90.0,90.0,90.0,90.0,120.0
1785291528.1946912,90.0,90.0,90.0,90.0,120.0
1785291528.262057,90.0,90.0,90.0,90.0,120.0
1785291528.343669,90.0,90.0,90.0,90.0,120.0
1785291528.461822,90.0,90.0,90.0,90.0,120.0
1785291528.558042,90.0,90.0,90.0,90.0,120.0
1785291528.663519,90.0,90.0,90.0,90.0,120.0
1785291528.7584572,90.0,90.0,90.0,90.0,120.0
1785291528.845408,90.0,90.0,90.0,90.0,120.0
1785291528.9355688,90.0,90.0,90.0,90.0,120.0
1785291529.005147,90.0,90.0,90.0,90.0,120.0
1785291529.069566,90.0,90.0,90.0,90.0,120.0
1785291529.1366432,90.0,90.0,90.0,90.0,120.0
1785291529.202515,90.0,90.0,90.0,90.0,120.0
1785291529.2731771,90.0,90.0,90.0,90.0,120.0
1785291529.334284,90.0,90.0,90.0,90.0,120.0
1785291529.406786,90.0,90.0,90.0,90.0,120.0
1785291529.4684942,90.0,90.0,90.0,90.0,120.0
1785291529.539802,90.0,90.0,90.0,90.0,120.0
1785291529.6018019,90.0,90.0,90.0,90.0,120.0
1785291529.6755579,90.0,90.0,90.0,90.0,120.0
1785291529.771349,90.0,90.0,90.0,90.0,120.0
1785291529.8354409,90.0,90.0,90.0,90.0,120.0
1785291529.907883,90.0,90.0,90.0,90.0,120.0
1785291529.965884,90.0,90.0,90.0,90.0,120.0
1785291530.039932,90.0,90.0,90.0,90.0,120.0
1785291530.102297,90.0,90.0,90.0,90.0,120.0
1785291530.1714602,90.0,90.0,90.0,90.0,120.0
1785291530.235483,90.0,90.0,90.0,90.0,120.0
1785291530.3107998,90.0,90.0,90.0,90.0,120.0
1785291530.41101,90.0,90.0,90.0,90.0,120.0
1785291530.505482,96.2,72.6,80.0,90.0,120.0
1785291530.569097,101.3,59.4,90.7,90.0,120.0
1785291530.66028,101.3,59.4,90.7,90.0,120.0
1785291530.731463,101.3,59.4,90.7,90.0,120.0
1785291530.812012,101.3,59.4,90.7,90.0,120.0
1785291530.913551,101.3,59.4,90.7,90.0,120.0
1785291531.021179,101.3,59.4,90.7,90.0,120.0
1785291531.128835,95.6,49.6,68.0,90.0,120.0
1785291531.2071621,95.6,49.6,68.0,90.0,120.0
1785291531.286287,95.6,49.6,68.0,90.0,120.0
1785291531.37921,95.6,49.6,68.0,90.0,120.0
1785291531.4711869,95.6,49.6,68.0,90.0,120.0
1785291531.539007,95.6,49.6,68.0,90.0,120.0
1785291531.6038458,95.6,49.6,68.0,90.0,120.0
1785291531.6725252,95.6,49.6,68.0,90.0,120.0
1785291531.738383,95.6,49.6,68.0,90.0,120.0
1785291531.80531,95.6,49.6,68.0,90.0,120.0
