timestamp,base,shoulder,elbow,wrist_updown,claw
1785291538.001475,90.0,90.0,90.0,90.0,120.0
1785291538.0714839,90.0,90.0,90.0,90.0,120.0
1785291538.128403,90.0,90.0,90.0,90.0,120.0
1785291538.196368,90.0,90.0,90.0,90.0,120.0
1785291538.264925,90.0,90.0,90.0,90.0,120.0
1785291538.329346,90.0,90.0,90.0,90.0,120.0
1785291538.394379,90.0,90.0,90.0,90.0,120.0
1785291538.46336,90.0,90.0,90.0,90.0,120.0
1785291538.53298,90.0,90.0,90.0,90.0,120.0
1785291538.595857,90.0,90.0,90.0,90.0,120.0
1785291538.665555,90.0,90.0,90.0,90.0,120.0
1785291538.7303932,90.0,90.0,90.0,90.0,120.0
1785291538.799131,90.0,90.0,90.0,90.0,120.0
1785291538.867182,90.0,90.0,90.0,90.0,120.0
1785291538.9304209,90.0,90.0,90.0,90.0,120.0
1785291539.003493,90.0,90.0,90.0,90.0,120.0
1785291539.0677881,90.0,90.0,90.0,90.0,120.0
1785291539.128878,90.0,90.0,90.0,90.0,120.0
1785291539.198875,90.0,90.0,90.0,90.0,120.0
1785291539.268746,90.0,90.0,90.0,90.0,120.0
1785291539.3303769,90.0,90.0,90.0,90.0,120.0
1785291539.400865,90.0,90.0,90.0,90.0,120.0
1785291539.467229,90.0,90.0,90.0,90.0,120.0
1785291539.530155,90.0,90.0,90.0,90.0,120.0
1785291539.595764,90.0,90.0,90.0,90.0,120.0
1785291539.671235,90.0,90.0,90.0,90.0,120.0
1785291539.73271,90.0,90.0,90.0,90.0,120.0
1785291539.7999659,90.0,90.0,90.0,90.0,120.0
1785291539.863446,90.0,90.0,90.0,90.0,120.0
1785291539.9304829,90.0,90.0,90.0,90.0,120.0
1785291540.00063,90.0,90.0,90.0,90.0,120.0
1785291540.0682461,90.0,90.0,90.0,90.0,120.0
1785291540.13342,90.0,90.0,90.0,90.0,120.0
1785291540.204426,90.0,90.0,90.0,90.0,120.0
1785291540.267735,90.0,90.0,90.0,90.0,120.0
1785291540.331095,90.0,90.0,90.0,90.0,120.0
1785291540.396999,90.0,90.0,90.0,90.0,120.0
1785291540.46447,90.0,90.0,90.0,90.0,120.0
1785291540.548991,90.0,90.0,90.0,90.0,120.0
1785291540.653805,90.0,90.0,90.0,90.0,120.0
1785291540.7370381,90.0,90.0,90.0,90.0,120.0
1785291540.798273,90.0,90.0,90.0,90.0,120.0
1785291540.86896,90.0,90.0,90.0,90.0,120.0
1785291540.9334679,90.0,90.0,90.0,90.0,120.0
1785291540.997041,90.0,90.0,90.0,90.0,120.0
1785291541.0645728,90.0,90.0,90.0,90.0,120.0
1785291541.1493702,72.2,72.6,81.4,90.0,120.0
1785291541.2671092,59.9,59.5,78.0,90.0,120.0
1785291541.361692,53.1,49.6,70.2,90.0,120.0
1785291541.461132,54.0,42.9,64.1,90.0,120.0
1785291541.562565,60.8,41.3,59.9,90.0,120.0
1785291541.6663191,75.0,43.0,58.2,90.0,120.0
1785291541.745974,88.0,44.6,54.7,90.0,120.0
1785291541.809345,103.0,46.6,51.2,90.0,120.0
1785291541.880039,116.3,49.4,46.6,90.0,120.0
1785291541.942781,126.8,53.4,35.0,90.0,120.0
