timestamp,base,shoulder,claw1,claw2
1784786002.117171,85.2,92.2,139.3,40.7
1784786002.183124,81.2,94.1,130.3,49.7
1784786002.249834,77.8,95.7,123.8,56.2
1784786002.3168,75.7,97.1,118.6,61.4
1784786002.3834188,73.8,98.7,114.1,65.9
1784786002.450919,72.1,100.0,110.3,69.7
1784786002.513887,70.7,101.1,107.4,72.6
1784786002.585438,69.6,101.9,105.3,74.7
1784786002.649896,68.8,102.5,103.7,76.3
1784786002.717088,68.2,102.9,102.6,77.4
1784786002.783989,67.7,102.7,101.1,78.9
1784786002.8494232,67.2,103.1,100.2,79.8
1784786002.917213,66.7,103.5,99.4,80.6
1784786002.983288,66.6,104.1,99.1,80.9
1784786003.049126,66.3,104.7,98.8,81.2
1784786003.117795,65.8,105.6,98.5,81.5
1784786003.183247,65.8,106.5,98.9,81.1
1784786003.24943,65.4,107.8,98.7,81.3
1784786003.3204212,65.2,109.5,98.4,81.6
1784786003.3793862,64.7,111.3,99.3,80.7
1784786003.453561,64.1,112.7,99.9,80.1
1784786003.5147688,63.5,114.1,100.0,80.0
1784786003.587327,63.0,115.8,100.3,79.7
1784786003.6474,62.7,117.6,100.5,79.5
1784786003.7219782,62.2,119.4,103.0,77.0
1784786003.8238451,62.0,121.4,106.2,73.8
1784786003.924185,62.0,122.6,109.3,70.7
1784786004.023186,61.8,123.9,112.7,67.3
1784786004.122645,61.8,125.0,118.7,61.3
1784786004.1958988,62.0,126.1,125.0,55.0
1784786004.290381,62.4,126.7,129.9,50.1
1784786004.391018,62.9,127.3,133.9,46.1
1784786004.485748,63.3,127.8,136.5,43.5
1784786004.549412,63.6,128.3,138.3,41.7
1784786004.616854,63.8,128.7,136.6,43.4
1784786004.6870341,64.1,129.1,134.5,45.5
1784786004.749732,64.5,129.6,131.9,48.1
1784786004.819295,64.9,130.1,129.1,50.9
1784786004.885003,65.4,130.6,124.7,55.3
1784786004.950666,65.9,131.1,121.1,58.9
1784786005.019392,66.3,131.7,117.4,62.6
1784786005.084772,66.7,132.2,114.8,65.2
1784786005.151328,66.9,132.6,113.7,66.3
1784786005.216835,67.2,133.1,112.5,67.5
1784786005.283812,67.3,133.5,112.6,67.4
1784786005.3522859,67.4,134.0,112.1,67.9
1784786005.417842,67.5,134.4,112.2,67.8
1784786005.485543,67.6,134.8,112.1,67.9
1784786005.5510771,67.6,135.1,113.2,66.8
1784786005.618548,67.5,135.3,113.5,66.5
1784786005.683391,67.4,135.6,114.0,66.0
1784786005.7524202,67.3,135.8,114.6,65.4
1784786005.8171678,67.2,135.9,114.3,65.7
1784786005.887167,67.2,136.0,114.5,65.5
1784786005.948428,67.1,136.1,114.3,65.7
1784786006.0216918,67.1,136.2,113.6,66.4
1784786006.0828211,67.0,136.3,110.2,69.8
1784786006.1485949,67.1,136.4,106.1,73.9
1784786006.2211819,67.1,136.4,103.0,77.0
1784786006.283009,67.1,136.5,101.1,78.9
1784786006.353399,67.2,136.6,100.9,79.1
1784786006.4161081,67.2,136.7,100.3,79.7
1784786006.49055,67.2,136.7,99.3,80.7
1784786006.588502,67.2,136.3,98.8,81.2
1784786006.650086,67.1,135.6,99.0,81.0
1784786006.719757,67.0,134.4,98.1,81.9
1784786006.782531,66.9,132.8,97.9,82.1
1784786006.8500822,66.5,131.1,96.8,83.2
1784786006.92239,66.0,128.9,96.2,83.8
1784786006.980952,65.5,126.5,95.8,84.2
1784786007.059327,64.9,123.9,95.8,84.2
1784786007.154749,64.1,120.8,96.6,83.4
1784786007.2155719,63.3,118.0,96.9,83.1
1784786007.2870421,62.6,115.9,96.7,83.3
1784786007.349728,61.8,114.5,96.5,83.5
1784786007.4236019,61.0,113.8,96.6,83.4
1784786007.523623,60.1,113.3,96.5,83.5
1784786007.62137,58.7,112.9,96.1,83.9
1784786007.68686,56.7,113.0,95.6,84.4
1784786007.750724,54.6,113.1,95.3,84.7
1784786007.819594,52.4,113.4,95.0,85.0
1784786007.886225,50.7,113.8,95.1,84.9
1784786007.9520671,49.1,114.4,95.2,84.8
1784786008.017472,47.8,115.0,95.5,84.5
1784786008.088481,46.8,115.4,95.4,84.6
1784786008.148871,45.8,115.9,95.5,84.5
1784786008.219274,45.0,116.1,95.5,84.5
1784786008.286391,44.5,116.4,95.2,84.8
1784786008.351939,43.9,116.8,95.3,84.7
1784786008.419754,43.2,117.2,95.1,84.9
1784786008.486953,42.8,117.6,95.0,85.0
1784786008.550833,42.1,118.2,95.2,84.8
1784786008.619551,41.1,119.0,96.0,84.0
1784786008.6880808,39.9,119.5,97.0,83.0
1784786008.74993,39.3,119.6,97.3,82.7
1784786008.82213,38.0,120.2,97.4,82.6
1784786008.8863711,37.3,120.2,96.5,83.5
1784786008.953969,36.6,120.7,96.1,83.9
1784786009.018281,35.6,121.2,95.8,84.2
1784786009.0875142,34.6,121.9,95.9,84.1
1784786009.151078,33.7,122.4,96.1,83.9
1784786009.219719,32.9,122.9,96.4,83.6
1784786009.288316,32.2,123.6,96.9,83.1
1784786009.351818,31.6,124.3,96.4,83.6
1784786009.4211378,31.1,124.8,95.9,84.1
1784786009.4891698,30.1,125.0,96.2,83.8
1784786009.549224,29.3,125.3,96.8,83.2
1784786009.624099,28.7,125.4,96.9,83.1
1784786009.682496,28.0,125.6,96.9,83.1
1784786009.7563672,27.5,125.9,96.4,83.6
1784786009.816672,26.9,126.1,96.4,83.6
1784786009.890641,26.3,126.9,96.7,83.3
1784786009.9484742,25.8,127.7,96.6,83.4
1784786010.023104,25.3,128.4,96.7,83.3
1784786010.08481,25.0,129.3,96.7,83.3
1784786010.15412,24.6,129.9,96.5,83.5
1784786010.220114,24.0,130.4,96.7,83.3
1784786010.288553,23.5,131.0,96.4,83.6
1784786010.35151,22.8,131.5,96.7,83.3
1784786010.418438,22.3,132.1,96.6,83.4
1784786010.487543,21.3,132.1,97.1,82.9
1784786010.5525818,20.3,132.1,97.2,82.8
1784786010.620306,19.7,132.7,97.1,82.9
1784786010.690229,19.4,133.4,96.8,83.2
1784786010.749931,19.5,134.5,96.9,83.1
1784786010.821244,19.6,135.6,96.7,83.3
