timestamp,base,shoulder,claw1,claw2
1784786010.8886242,19.8,136.8,96.5,83.5
1784786010.952586,19.9,137.9,96.3,83.7
1784786011.0207958,20.0,138.7,96.1,83.9
1784786011.088932,20.3,139.7,96.0,84.0
1784786011.151225,20.3,140.6,95.6,84.4
1784786011.22016,20.3,141.2,97.5,82.5
1784786011.286178,20.7,141.8,103.4,76.6
1784786011.3553438,20.7,141.9,111.1,68.9
1784786011.418528,21.3,142.2,118.9,61.1
1784786011.487417,21.4,142.5,125.1,54.9
1784786011.556681,21.3,142.3,130.1,49.9
1784786011.6191099,21.2,142.0,134.1,45.9
1784786011.688917,21.0,141.2,137.2,42.8
1784786011.752209,20.5,140.2,139.8,40.2
1784786011.822541,20.2,139.2,141.8,38.2
1784786011.887449,19.9,138.0,143.5,36.5
1784786011.9536908,20.1,137.2,143.7,36.3
1784786012.0227132,20.3,135.4,141.8,38.2
1784786012.086775,20.4,133.3,138.2,41.8
1784786012.154988,20.7,131.0,134.8,45.2
1784786012.219255,20.9,128.5,131.4,48.6
1784786012.290698,21.2,125.8,126.5,53.5
1784786012.3513658,21.7,123.5,120.9,59.1
