timestamp,base,shoulder,elbow,wrist_updown,claw
1785291353.401241,90.0,90.0,90.0,90.0,120.0
1785291353.473227,90.0,90.0,90.0,90.0,120.0
1785291353.537208,90.0,90.0,90.0,90.0,120.0
1785291353.6060412,90.0,90.0,90.0,90.0,120.0
1785291353.6732512,90.0,90.0,90.0,90.0,120.0
1785291353.7370949,90.0,90.0,90.0,90.0,120.0
1785291353.808578,90.0,90.0,90.0,90.0,120.0
1785291353.872541,90.0,90.0,90.0,90.0,120.0
1785291353.94486,90.0,90.0,90.0,90.0,120.0
1785291354.004468,90.0,90.0,90.0,90.0,120.0
1785291354.069613,90.0,90.0,90.0,90.0,120.0
1785291354.136294,90.0,90.0,90.0,90.0,120.0
1785291354.205208,90.0,90.0,90.0,90.0,120.0
1785291354.289352,90.0,90.0,90.0,90.0,120.0
1785291354.3719501,90.0,90.0,90.0,90.0,120.0
1785291354.438127,90.0,90.0,90.0,90.0,120.0
1785291354.5001879,90.0,90.0,90.0,90.0,120.0
1785291354.575729,90.0,90.0,90.0,90.0,120.0
1785291354.641074,90.0,90.0,90.0,90.0,120.0
1785291354.7032871,90.0,90.0,90.0,90.0,120.0
1785291354.774854,90.0,90.0,90.0,90.0,120.0
1785291354.8444061,90.0,90.0,90.0,90.0,120.0
1785291354.911138,90.0,90.0,90.0,90.0,120.0
1785291354.97087,90.0,90.0,90.0,90.0,120.0
1785291355.03934,90.0,90.0,90.0,90.0,120.0
1785291355.10706,90.0,90.0,90.0,90.0,120.0
1785291355.175665,90.0,90.0,90.0,90.0,120.0
1785291355.237799,90.0,90.0,90.0,90.0,120.0
1785291355.3046021,90.0,90.0,90.0,90.0,120.0
1785291355.3739011,90.0,90.0,90.0,90.0,120.0
1785291355.4374661,90.0,90.0,90.0,90.0,120.0
1785291355.505035,90.0,90.0,90.0,90.0,120.0
1785291355.579736,90.0,90.0,90.0,90.0,120.0
1785291355.636718,90.0,90.0,90.0,90.0,120.0
1785291355.704179,90.0,90.0,90.0,90.0,120.0
1785291355.776233,90.0,90.0,90.0,90.0,120.0
1785291355.842099,90.0,90.0,90.0,90.0,120.0
1785291355.908938,90.0,90.0,90.0,90.0,120.0
