timestamp,base,shoulder,claw1,claw2
1784785964.8053582,84.4,93.6,140.7,39.3
1784785964.904835,79.8,96.5,133.5,46.5
1784785964.999661,76.3,98.9,127.7,52.3
1784785965.063284,73.4,100.7,123.1,56.9
1784785965.131318,71.0,102.1,119.5,60.5
1784785965.1971872,69.2,103.3,117.2,62.8
1784785965.265921,67.8,104.2,115.5,64.5
1784785965.328317,66.8,104.8,114.5,65.5
1784785965.405301,66.1,105.3,114.2,65.8
1784785965.501941,65.4,105.6,114.5,65.5
1784785965.605206,64.9,106.2,114.5,65.5
1784785965.705591,64.5,106.9,113.8,66.2
1784785965.800159,64.5,108.1,112.5,67.5
1784785965.863084,64.5,109.2,111.8,68.2
1784785965.930929,64.7,110.4,110.6,69.4
1784785965.997144,64.6,111.7,109.7,70.3
1784785966.062369,64.7,113.3,108.7,71.3
1784785966.130555,64.6,114.6,108.0,72.0
1784785966.199785,64.4,115.5,107.2,72.8
1784785966.2636192,64.0,116.3,106.8,73.2
1784785966.331767,63.7,117.2,106.2,73.8
1784785966.398079,63.5,118.0,105.7,74.3
1784785966.465735,63.3,118.5,105.4,74.6
1784785966.5302389,63.2,118.8,105.1,74.9
1784785966.599266,63.1,119.2,105.0,75.0
1784785966.6641989,63.0,119.8,104.7,75.3
1784785966.730557,63.0,120.3,104.5,75.5
1784785966.7981288,63.1,120.5,104.5,75.5
1784785966.8639019,63.1,120.8,104.1,75.9
1784785966.932517,63.2,121.0,103.8,76.2
1784785966.998548,63.4,121.2,103.6,76.4
1784785967.066706,63.6,121.3,103.7,76.3
1784785967.130591,64.0,121.4,104.1,75.9
1784785967.198508,64.2,121.7,104.4,75.6
1784785967.266557,64.3,122.0,104.5,75.5
1784785967.330252,64.5,122.5,105.5,74.5
1784785967.402497,64.5,122.9,106.7,73.3
1784785967.462589,64.5,124.1,107.8,72.2
1784785967.536598,64.7,125.7,109.3,70.7
1784785967.6385741,65.3,128.5,110.7,69.3
1784785967.7388601,65.5,131.5,112.0,68.0
1784785967.837237,65.7,134.8,112.6,67.4
1784785967.938148,65.7,138.2,113.3,66.7
1784785968.038025,65.8,141.0,113.9,66.1
1784785968.125909,65.9,143.4,114.4,65.6
1784785968.1924841,65.8,145.3,114.6,65.4
1784785968.269452,65.7,146.9,113.7,66.3
1784785968.3284202,65.6,148.0,110.5,69.5
1784785968.4069388,65.5,148.3,107.5,72.5
1784785968.493975,65.5,147.3,105.1,74.9
1784785968.5699708,65.4,144.9,103.6,76.4
1784785968.671852,65.2,141.8,102.3,77.7
1784785968.771687,65.4,138.6,101.0,79.0
1784785968.872206,65.7,136.0,99.7,80.3
1784785968.972519,65.7,133.8,98.7,81.3
1784785969.073375,65.6,131.8,98.0,82.0
1784785969.171006,65.5,130.0,97.4,82.6
1784785969.2725341,65.2,128.2,97.1,82.9
1784785969.371079,64.4,126.6,96.8,83.2
1784785969.471354,63.4,125.0,96.7,83.3
1784785969.5691478,62.1,123.7,96.5,83.5
1784785969.630655,60.9,123.2,96.5,83.5
1784785969.7049768,60.0,123.1,96.4,83.6
1784785969.805762,59.2,123.0,96.4,83.6
1784785969.908606,58.4,123.1,96.4,83.6
1784785970.004289,57.3,123.5,96.4,83.6
1784785970.1079512,56.0,123.8,96.3,83.7
1784785970.206686,54.6,123.9,96.2,83.8
1784785970.307798,53.1,123.8,96.1,83.9
1784785970.405835,51.6,123.5,96.2,83.8
1784785970.5084941,49.9,123.5,96.2,83.8
1784785970.6037729,47.4,123.7,96.2,83.8
1784785970.6639948,44.2,124.2,96.2,83.8
1784785970.736108,41.5,124.7,96.2,83.8
1784785970.796768,38.9,125.5,96.5,83.5
1784785970.871339,36.8,126.2,96.6,83.4
1784785970.973099,34.2,127.0,96.5,83.5
1784785971.069095,31.9,127.7,96.4,83.6
1784785971.132388,30.0,128.3,96.5,83.5
1784785971.20157,28.4,128.9,96.7,83.3
1784785971.267709,27.0,129.2,96.6,83.4
1784785971.333807,25.8,129.5,96.5,83.5
1784785971.40003,24.7,130.2,96.5,83.5
1784785971.4686358,23.7,130.9,96.5,83.5
1784785971.532912,22.9,131.6,96.4,83.6
1784785971.601036,22.4,132.4,96.4,83.6
1784785971.6699588,22.1,133.0,96.5,83.5
1784785971.7331588,22.5,133.9,96.6,83.4
1784785971.799335,22.8,134.6,96.8,83.2
1784785971.8715131,23.2,135.1,96.7,83.3
1784785971.9296472,23.5,135.6,96.7,83.3
1784785972.001487,23.8,135.8,96.7,83.3
1784785972.066821,24.1,135.9,96.7,83.3
1784785972.132801,24.6,136.0,96.7,83.3
1784785972.204022,25.2,136.3,96.6,83.4
1784785972.2648351,25.6,136.5,96.7,83.3
1784785972.337746,26.2,136.6,96.7,83.3
1784785972.3978271,26.5,136.8,96.6,83.4
1784785972.473873,26.7,137.1,96.6,83.4
1784785972.571607,26.6,137.3,101.7,78.3
1784785972.6309571,26.7,137.5,108.2,71.8
1784785972.710308,26.7,137.8,114.1,65.9
1784785972.807679,26.7,137.8,121.2,58.8
1784785972.909397,26.6,137.9,127.0,53.0
1784785973.007217,26.6,138.0,131.6,48.4
1784785973.107119,26.5,137.9,135.3,44.7
1784785973.20436,26.4,137.8,138.2,41.8
1784785973.2661288,26.3,137.8,140.4,39.6
1784785973.337284,26.3,137.8,141.2,38.8
1784785973.399623,26.2,137.8,139.0,41.0
