timestamp,base,shoulder,elbow,wrist_updown,claw
1785289810.843404,90.0,90.0,90.0,90.0,120.0
1785289810.9155688,90.0,90.0,90.0,90.0,120.0
1785289810.9840589,90.0,90.0,90.0,90.0,120.0
1785289811.060668,90.0,90.0,90.0,90.0,120.0
1785289811.143565,90.0,90.0,90.0,90.0,120.0
1785289811.217506,90.0,90.0,90.0,90.0,120.0
1785289811.275531,90.0,90.0,90.0,90.0,120.0
1785289811.347709,90.0,90.0,90.0,90.0,120.0
1785289811.407477,90.0,90.0,90.0,90.0,120.0
1785289811.47552,90.0,90.0,90.0,90.0,120.0
1785289811.5444212,90.0,90.0,90.0,90.0,120.0
1785289811.610113,90.0,90.0,90.0,90.0,120.0
1785289811.685171,90.0,90.0,90.0,90.0,120.0
1785289811.738697,90.0,90.0,90.0,90.0,120.0
1785289811.815901,90.0,90.0,90.0,90.0,120.0
1785289811.880085,90.0,90.0,90.0,90.0,120.0
1785289811.941258,90.0,90.0,90.0,90.0,120.0
1785289812.01129,90.0,90.0,90.0,90.0,120.0
1785289812.083238,90.0,90.0,90.0,90.0,120.0
1785289812.149046,90.0,90.0,90.0,90.0,120.0
1785289812.210695,90.0,90.0,90.0,90.0,120.0
1785289812.2809541,90.0,90.0,90.0,90.0,120.0
1785289812.340606,90.0,90.0,90.0,90.0,120.0
1785289812.4152,90.0,90.0,90.0,90.0,120.0
1785289812.4844632,90.0,90.0,90.0,90.0,120.0
1785289812.543947,90.0,90.0,90.0,90.0,120.0
1785289812.611261,90.0,90.0,90.0,90.0,120.0
1785289812.679713,90.0,90.0,90.0,90.0,120.0
1785289812.744659,90.0,90.0,90.0,90.0,120.0
1785289812.8152618,90.0,90.0,90.0,90.0,120.0
1785289812.8848052,90.0,90.0,90.0,90.0,120.0
1785289812.939338,90.0,90.0,90.0,90.0,120.0
1785289813.011064,90.0,90.0,90.0,90.0,120.0
1785289813.0775502,90.0,90.0,90.0,90.0,120.0
1785289813.1455119,90.0,90.0,90.0,90.0,120.0
1785289813.2118511,90.0,90.0,90.0,90.0,120.0
1785289813.277952,90.0,90.0,90.0,90.0,120.0
1785289813.345324,90.0,90.0,90.0,90.0,120.0
1785289813.410648,90.0,90.0,90.0,90.0,120.0
1785289813.480018,90.0,90.0,90.0,90.0,120.0
1785289813.545057,90.0,90.0,90.0,90.0,120.0
1785289813.61884,90.0,90.0,90.0,90.0,120.0
1785289813.6769931,90.0,90.0,90.0,90.0,120.0
1785289813.7452521,90.0,90.0,90.0,90.0,120.0
1785289813.8115,90.0,90.0,90.0,90.0,120.0
1785289813.8805492,90.0,90.0,90.0,90.0,120.0
1785289813.941111,90.0,90.0,90.0,90.0,120.0
1785289814.015457,90.0,90.0,90.0,90.0,120.0
1785289814.07768,90.0,90.0,90.0,90.0,120.0
1785289814.1404748,90.0,90.0,90.0,90.0,120.0
1785289814.2088718,90.0,90.0,90.0,90.0,120.0
1785289814.278313,90.0,90.0,90.0,90.0,120.0
1785289814.340717,90.0,90.0,90.0,90.0,120.0
1785289814.408053,90.0,90.0,90.0,90.0,120.0
1785289814.4844759,90.0,90.0,90.0,90.0,120.0
1785289814.545583,90.0,90.0,90.0,90.0,120.0
1785289814.611627,90.0,90.0,90.0,90.0,120.0
1785289814.676394,90.0,90.0,90.0,90.0,120.0
1785289814.744753,90.0,90.0,90.0,90.0,120.0
1785289814.8136268,90.0,90.0,90.0,90.0,120.0
1785289814.8808808,90.0,90.0,90.0,90.0,120.0
1785289814.9464982,90.0,90.0,90.0,90.0,120.0
1785289815.01217,90.0,90.0,90.0,90.0,120.0
1785289815.076658,90.0,90.0,90.0,90.0,120.0
1785289815.142231,90.0,90.0,90.0,90.0,120.0
1785289815.212963,90.0,90.0,90.0,90.0,120.0
1785289815.2811,90.0,90.0,90.0,90.0,120.0
1785289815.3454568,90.0,90.0,90.0,90.0,120.0
1785289815.4169679,90.0,90.0,90.0,90.0,120.0
1785289815.482281,90.0,90.0,90.0,90.0,120.0
1785289815.5441558,90.0,90.0,90.0,90.0,120.0
1785289815.6167538,90.0,90.0,90.0,90.0,120.0
1785289815.678105,90.0,90.0,90.0,90.0,120.0
1785289815.74543,90.0,90.0,90.0,90.0,120.0
1785289815.8131468,90.0,90.0,90.0,90.0,120.0
1785289815.87999,90.0,90.0,90.0,90.0,120.0
1785289815.946916,90.0,90.0,90.0,90.0,120.0
1785289816.012435,90.0,90.0,90.0,90.0,120.0
1785289816.082371,90.0,90.0,90.0,90.0,120.0
1785289816.1443021,90.0,90.0,90.0,90.0,120.0
1785289816.217124,90.0,90.0,90.0,90.0,120.0
1785289816.2861671,90.0,90.0,90.0,90.0,120.0
1785289816.343334,90.0,90.0,90.0,90.0,120.0
1785289816.4168692,90.0,90.0,90.0,90.0,120.0
1785289816.4802802,90.0,90.0,90.0,90.0,120.0
1785289816.54628,90.0,90.0,90.0,90.0,120.0
1785289816.61242,90.0,90.0,90.0,90.0,120.0
1785289816.682545,90.0,90.0,90.0,90.0,120.0
1785289816.745645,90.0,90.0,90.0,90.0,120.0
1785289816.8125608,90.0,90.0,90.0,90.0,120.0
1785289816.881782,90.0,90.0,90.0,90.0,120.0
1785289816.946701,90.0,90.0,90.0,90.0,120.0
1785289817.0137532,90.0,90.0,90.0,90.0,120.0
1785289817.082355,90.0,90.0,90.0,90.0,120.0
1785289817.146225,90.0,90.0,90.0,90.0,120.0
1785289817.213643,90.0,90.0,90.0,90.0,120.0
1785289817.287429,90.0,90.0,90.0,90.0,120.0
1785289817.3442051,90.0,90.0,90.0,90.0,120.0
1785289817.414536,90.0,90.0,90.0,90.0,120.0
1785289817.483099,90.0,90.0,90.0,90.0,120.0
1785289817.547447,90.0,90.0,90.0,90.0,120.0
1785289817.616879,90.0,90.0,90.0,90.0,120.0
1785289817.682621,90.0,90.0,90.0,90.0,120.0
1785289817.747874,90.0,90.0,90.0,90.0,120.0
1785289817.818173,90.0,90.0,90.0,90.0,120.0
1785289817.881873,90.0,90.0,90.0,90.0,120.0
1785289817.9514601,90.0,90.0,90.0,90.0,120.0
1785289818.0048242,90.0,90.0,90.0,90.0,120.0
1785289818.080459,90.0,90.0,90.0,90.0,120.0
1785289818.147605,90.0,90.0,90.0,90.0,120.0
1785289818.2186549,90.0,90.0,90.0,90.0,120.0
1785289818.283573,90.0,90.0,90.0,90.0,120.0
1785289818.3477068,90.0,90.0,90.0,90.0,120.0
1785289818.4180899,90.0,90.0,90.0,90.0,120.0
1785289818.483368,90.0,90.0,90.0,90.0,120.0
1785289818.548018,90.0,90.0,90.0,90.0,120.0
1785289818.618228,90.0,90.0,90.0,90.0,120.0
1785289818.6843462,90.0,90.0,90.0,90.0,120.0
1785289818.7478359,90.0,90.0,90.0,90.0,120.0
1785289818.817893,90.0,90.0,90.0,90.0,120.0
1785289818.899793,90.0,90.0,90.0,90.0,120.0
1785289818.982337,90.0,90.0,90.0,90.0,120.0
1785289819.048425,90.0,90.0,90.0,90.0,120.0
1785289819.117823,90.0,90.0,90.0,90.0,120.0
1785289819.182399,90.0,90.0,90.0,90.0,120.0
1785289819.2489212,90.0,90.0,90.0,90.0,120.0
1785289819.318448,90.0,90.0,90.0,90.0,120.0
1785289819.382454,90.0,90.0,90.0,90.0,120.0
1785289819.4485419,90.0,90.0,90.0,90.0,120.0
1785289819.5185258,90.0,90.0,90.0,90.0,120.0
1785289819.581604,90.0,90.0,90.0,90.0,120.0
1785289819.651732,90.0,90.0,90.0,90.0,120.0
1785289819.715473,90.0,90.0,90.0,90.0,120.0
1785289819.782828,90.0,90.0,90.0,90.0,120.0
1785289819.852184,90.0,90.0,90.0,90.0,120.0
1785289819.918622,90.0,90.0,90.0,90.0,120.0
1785289819.9823859,90.0,90.0,90.0,90.0,120.0
1785289820.0526788,90.0,90.0,90.0,90.0,120.0
1785289820.115516,90.0,90.0,90.0,90.0,120.0
1785289820.1849768,90.0,90.0,90.0,90.0,120.0
1785289820.248352,90.0,90.0,90.0,90.0,120.0
1785289820.316703,90.0,90.0,90.0,90.0,120.0
1785289820.382616,90.0,90.0,90.0,90.0,120.0
1785289820.452725,90.0,90.0,90.0,90.0,120.0
1785289820.5161312,90.0,90.0,90.0,90.0,120.0
1785289820.585221,90.0,90.0,90.0,90.0,120.0
1785289820.6486359,90.0,90.0,90.0,90.0,120.0
1785289820.7161222,90.0,90.0,90.0,90.0,120.0
1785289820.7860632,90.0,90.0,90.0,90.0,120.0
1785289820.8532748,90.0,90.0,90.0,90.0,120.0
1785289820.918963,90.0,90.0,90.0,90.0,120.0
1785289820.983138,90.0,90.0,90.0,90.0,120.0
1785289821.0523899,90.0,90.0,90.0,90.0,120.0
