timestamp,base,shoulder,elbow,wrist_updown,claw
1785289676.8861818,90.0,90.0,90.0,90.0,120.0
1785289676.962871,90.0,90.0,90.0,90.0,120.0
1785289677.0677729,90.0,90.0,90.0,90.0,120.0
1785289677.166815,90.0,90.0,90.0,90.0,120.0
1785289677.262978,90.0,90.0,90.0,90.0,120.0
1785289677.359914,90.0,90.0,90.0,90.0,120.0
1785289677.421534,90.0,90.0,90.0,90.0,120.0
1785289677.495334,90.0,90.0,90.0,90.0,120.0
1785289677.596492,90.0,90.0,90.0,90.0,120.0
1785289677.697651,90.0,90.0,90.0,90.0,120.0
1785289677.797257,90.0,90.0,90.0,90.0,120.0
1785289677.8973372,90.0,90.0,90.0,90.0,120.0
1785289677.9980311,90.0,90.0,90.0,90.0,120.0
1785289678.0992079,90.0,90.0,90.0,90.0,120.0
1785289678.211911,90.0,90.0,90.0,90.0,120.0
1785289678.30221,90.0,90.0,90.0,90.0,120.0
1785289678.402124,90.0,90.0,90.0,90.0,120.0
1785289678.484721,90.0,90.0,90.0,90.0,120.0
1785289678.550999,90.0,90.0,90.0,90.0,120.0
1785289678.6170602,90.0,90.0,90.0,90.0,120.0
1785289678.670434,90.0,90.0,90.0,90.0,120.0
1785289678.735931,90.0,90.0,90.0,90.0,120.0
1785289678.8193018,90.0,90.0,90.0,90.0,120.0
1785289678.880366,90.0,90.0,90.0,90.0,120.0
1785289678.949156,90.0,90.0,90.0,90.0,120.0
1785289679.0189881,90.0,90.0,90.0,90.0,120.0
1785289679.081963,90.0,90.0,90.0,90.0,120.0
1785289679.1482291,90.0,90.0,90.0,90.0,120.0
1785289679.2175071,90.0,90.0,90.0,90.0,120.0
1785289679.3018932,90.0,90.0,90.0,90.0,120.0
1785289679.3967192,90.0,90.0,90.0,90.0,120.0
1785289679.480948,90.0,90.0,90.0,90.0,120.0
1785289679.548407,90.0,90.0,90.0,90.0,120.0
1785289679.6186528,90.0,90.0,90.0,90.0,120.0
1785289679.6979651,90.0,90.0,90.0,90.0,120.0
1785289679.78527,90.0,90.0,90.0,90.0,120.0
1785289679.851779,90.0,90.0,90.0,90.0,120.0
1785289679.9169228,90.0,90.0,90.0,90.0,120.0
1785289679.9823549,90.0,90.0,90.0,90.0,120.0
1785289680.051015,90.0,90.0,90.0,90.0,120.0
1785289680.137962,90.0,90.0,90.0,90.0,120.0
1785289680.216656,90.0,90.0,90.0,90.0,120.0
1785289680.2823381,90.0,90.0,90.0,90.0,120.0
1785289680.351747,90.0,90.0,90.0,90.0,120.0
1785289680.415597,90.0,90.0,90.0,90.0,120.0
1785289680.485945,90.0,90.0,90.0,90.0,120.0
1785289680.549052,90.0,90.0,90.0,90.0,120.0
1785289680.620592,90.0,90.0,90.0,90.0,120.0
1785289680.680477,90.0,90.0,90.0,90.0,120.0
1785289680.749556,90.0,90.0,90.0,90.0,120.0
1785289680.817864,90.0,90.0,90.0,90.0,120.0
1785289680.8824818,90.0,90.0,90.0,90.0,120.0
1785289680.947818,90.0,90.0,90.0,90.0,120.0
1785289681.016212,90.0,90.0,90.0,90.0,120.0
1785289681.0864792,90.0,90.0,90.0,90.0,120.0
1785289681.148318,90.0,90.0,90.0,90.0,120.0
1785289681.213365,90.0,90.0,90.0,90.0,120.0
1785289681.286571,90.0,90.0,90.0,90.0,120.0
1785289681.352997,90.0,90.0,90.0,90.0,120.0
1785289681.4189708,90.0,90.0,90.0,90.0,120.0
1785289681.48569,90.0,90.0,90.0,90.0,120.0
1785289681.547083,90.0,90.0,90.0,90.0,120.0
1785289681.617633,90.0,90.0,90.0,90.0,120.0
1785289681.682506,90.0,90.0,90.0,90.0,120.0
1785289681.753751,90.0,90.0,90.0,90.0,120.0
1785289681.8179882,90.0,90.0,90.0,90.0,120.0
1785289681.8790069,90.0,90.0,90.0,90.0,120.0
1785289681.950409,90.0,90.0,90.0,90.0,120.0
