timestamp,base,shoulder,elbow,wrist_updown,claw
1785290506.775834,90.0,90.0,90.0,90.0,120.0
1785290506.876234,90.0,90.0,90.0,90.0,120.0
1785290506.981388,90.0,90.0,90.0,90.0,120.0
1785290507.07587,90.0,90.0,90.0,90.0,120.0
1785290507.158278,90.0,90.0,90.0,90.0,120.0
1785290507.2474601,90.0,90.0,90.0,90.0,120.0
1785290507.3404238,90.0,90.0,90.0,90.0,120.0
1785290507.427092,90.0,90.0,90.0,90.0,120.0
1785290507.513611,90.0,90.0,90.0,90.0,120.0
1785290507.606563,90.0,90.0,90.0,90.0,120.0
1785290507.672605,90.0,90.0,90.0,90.0,120.0
1785290507.737084,113.3,72.5,81.6,90.0,120.0
1785290507.821651,131.0,59.4,73.7,90.0,120.0
1785290507.910393,131.0,59.4,73.7,90.0,120.0
1785290508.013956,131.0,59.4,73.7,90.0,120.0
1785290508.114615,131.0,59.4,73.7,90.0,120.0
1785290508.2100549,131.0,59.4,73.7,90.0,120.0
1785290508.314633,131.0,59.4,73.7,90.0,120.0
1785290508.4148412,131.0,59.4,73.7,90.0,120.0
1785290508.510274,131.0,59.4,73.7,90.0,120.0
1785290508.6092129,131.0,59.4,73.7,90.0,120.0
1785290508.714875,131.0,59.4,73.7,90.0,120.0
1785290508.810994,131.0,59.4,73.7,90.0,120.0
1785290508.910078,131.0,59.4,73.7,90.0,120.0
1785290509.008634,131.0,59.4,73.7,90.0,120.0
1785290509.071594,131.0,59.4,73.7,90.0,120.0
1785290509.140495,131.0,59.4,73.7,90.0,120.0
1785290509.201581,131.0,59.4,73.7,90.0,120.0
1785290509.278838,131.0,59.4,73.7,90.0,120.0
1785290509.37512,131.0,59.4,73.7,90.0,120.0
1785290509.480063,131.0,59.4,73.7,90.0,120.0
1785290509.577795,131.0,59.4,73.7,90.0,120.0
1785290509.6782742,136.6,49.5,78.1,90.0,120.0
1785290509.773386,141.6,42.1,76.7,90.0,120.0
1785290509.838207,145.2,36.6,70.7,90.0,120.0
1785290509.905492,147.9,32.5,66.7,90.0,120.0
