timestamp,base,shoulder,elbow,wrist_updown,claw
1785289809.647501,90.0,90.0,90.0,90.0,120.0
1785289809.707082,90.0,90.0,90.0,90.0,120.0
1785289809.779968,90.0,90.0,90.0,90.0,120.0
1785289809.8363678,90.0,90.0,90.0,90.0,120.0
1785289809.909787,90.0,90.0,90.0,90.0,120.0
1785289809.9710898,90.0,90.0,90.0,90.0,120.0
1785289810.0486028,90.0,90.0,90.0,90.0,120.0
1785289810.10741,90.0,90.0,90.0,90.0,120.0
1785289810.171156,90.0,90.0,90.0,90.0,120.0
1785289810.242102,90.0,90.0,90.0,90.0,120.0
1785289810.307429,90.0,90.0,90.0,90.0,120.0
1785289810.373675,90.0,90.0,90.0,90.0,120.0
1785289810.449155,90.0,90.0,90.0,90.0,120.0
