timestamp,base,shoulder,elbow,wrist_updown,claw
1785291688.579713,90.0,90.0,90.0,90.0,120.0
1785291688.642391,90.0,90.0,90.0,90.0,120.0
1785291688.7071419,90.0,90.0,90.0,90.0,120.0
1785291688.775382,90.0,90.0,90.0,90.0,120.0
1785291688.8408089,90.0,90.0,90.0,90.0,120.0
1785291688.9088252,90.0,90.0,90.0,90.0,120.0
1785291688.975971,90.0,90.0,90.0,90.0,120.0
1785291689.0412412,90.0,90.0,90.0,90.0,120.0
1785291689.1077619,90.0,90.0,90.0,90.0,120.0
1785291689.176082,90.0,90.0,90.0,90.0,120.0
1785291689.2458282,90.0,90.0,90.0,90.0,120.0
1785291689.308817,90.0,90.0,90.0,90.0,120.0
1785291689.37603,90.0,90.0,90.0,90.0,120.0
1785291689.441578,90.0,90.0,90.0,90.0,120.0
1785291689.508329,90.0,90.0,90.0,90.0,120.0
1785291689.580377,90.0,90.0,90.0,90.0,120.0
1785291689.644771,90.0,90.0,90.0,90.0,120.0
1785291689.708286,90.0,90.0,90.0,90.0,120.0
1785291689.775845,90.0,90.0,90.0,90.0,120.0
1785291689.846124,90.0,90.0,90.0,90.0,120.0
1785291689.906393,90.0,90.0,90.0,90.0,120.0
1785291689.976863,90.0,90.0,90.0,90.0,120.0
1785291690.0425851,90.0,90.0,90.0,90.0,120.0
1785291690.1124659,90.0,90.0,90.0,90.0,120.0
1785291690.176386,90.0,90.0,90.0,90.0,120.0
1785291690.24191,90.0,90.0,90.0,90.0,120.0
1785291690.312161,90.0,90.0,90.0,90.0,120.0
1785291690.375784,90.0,90.0,90.0,90.0,120.0
1785291690.446901,90.0,90.0,90.0,90.0,120.0
1785291690.5086489,90.0,90.0,90.0,90.0,120.0
1785291690.5767522,90.0,90.0,90.0,90.0,120.0
1785291690.646664,90.0,90.0,90.0,90.0,120.0
1785291690.709524,90.0,90.0,90.0,90.0,120.0
1785291690.78001,90.0,90.0,90.0,90.0,120.0
1785291690.845841,90.0,90.0,90.0,90.0,120.0
1785291690.909128,90.0,90.0,90.0,90.0,120.0
1785291690.9806411,90.0,90.0,90.0,90.0,120.0
1785291691.0429828,90.0,90.0,90.0,90.0,120.0
1785291691.109396,90.0,90.0,90.0,90.0,120.0
1785291691.180575,90.0,90.0,90.0,90.0,120.0
1785291691.242591,90.0,90.0,90.0,90.0,120.0
1785291691.3086112,90.0,90.0,90.0,90.0,120.0
1785291691.373734,90.0,90.0,90.0,90.0,120.0
1785291691.446087,90.0,90.0,90.0,90.0,120.0
1785291691.508512,90.0,90.0,90.0,90.0,120.0
1785291691.577451,90.0,90.0,90.0,90.0,120.0
1785291691.646793,90.0,90.0,90.0,90.0,120.0
1785291691.7094421,90.0,90.0,90.0,90.0,120.0
1785291691.777739,90.0,90.0,90.0,90.0,120.0
1785291691.8419929,90.0,90.0,90.0,90.0,120.0
1785291691.909777,90.0,90.0,90.0,90.0,120.0
1785291691.977674,90.0,90.0,90.0,90.0,120.0
1785291692.046172,90.0,90.0,90.0,90.0,120.0
1785291692.11043,90.0,90.0,90.0,90.0,120.0
1785291692.1775308,90.0,90.0,90.0,90.0,120.0
1785291692.2430022,90.0,90.0,90.0,90.0,120.0
1785291692.309674,90.0,90.0,90.0,90.0,120.0
1785291692.3768551,90.0,90.0,90.0,90.0,120.0
1785291692.442268,90.0,90.0,90.0,90.0,120.0
1785291692.5099,90.0,90.0,90.0,90.0,120.0
1785291692.5743308,90.0,90.0,90.0,90.0,120.0
1785291692.642626,90.0,90.0,90.0,90.0,120.0
1785291692.714236,90.0,90.0,90.0,90.0,120.0
1785291692.780652,90.0,90.0,90.0,90.0,120.0
1785291692.844018,90.0,90.0,90.0,90.0,120.0
1785291692.909796,90.0,90.0,90.0,90.0,120.0
1785291692.981486,90.0,90.0,90.0,90.0,120.0
1785291693.0434382,90.0,90.0,90.0,90.0,120.0
1785291693.113476,90.0,90.0,90.0,90.0,120.0
1785291693.181631,90.0,90.0,90.0,90.0,120.0
1785291693.242499,90.0,90.0,90.0,90.0,120.0
1785291693.310072,90.0,90.0,90.0,90.0,120.0
1785291693.379074,90.0,90.0,90.0,90.0,120.0
1785291693.442497,90.0,90.0,90.0,90.0,120.0
1785291693.510256,90.0,90.0,90.0,90.0,120.0
1785291693.5818582,90.0,90.0,90.0,90.0,120.0
1785291693.6410902,90.0,90.0,90.0,90.0,120.0
